CELL ID,School name,URN,Total road length in catchment,percentage of Motorway,percentage of A Road,percentage of B Road,percentage of Minor Roads,percentage of Unknown,Year,Flood Name,Start Date,End Date,Duration,Flooded Roads Ratio,Year.1,Flood Name.1,Start Date.1,End Date.1,Duration.1,Flooded Roads Ratio.1,Year.3,Flood Name.3,Start Date.3,End Date.3,Duration.3,Flooded Roads Ratio.3,Year.4,Flood Name.4,Start Date.4,End Date.4,Duration.4,Flooded Roads Ratio.4,Year.5,Flood Name.5,Start Date.5,End Date.5,Duration.5,Flooded Roads Ratio.5,Year.6,Flood Name.6,Start Date.6,End Date.6,Duration.6,Flooded Roads Ratio.6,Year.7,Flood Name.7,Start Date.7,End Date.7,Duration.7,Flooded Roads Ratio.7,Year.8,Flood Name.8,Start Date.8,End Date.8,Duration.8,Flooded Roads Ratio.8
19,The Middle Rasen Primary School,120463,31.6,0,30.2,0,50.1,19.8,2000,,,,,0,2002,,,,,0,2007,LNA_2007_06_River Rase,26/06/2007,26/06/2007,1 days,1.49,2013,,,,,0,2019,LNA_2019_11_River Rase,08/11/2019,30/11/2019,23 days,0.29,2023,LNA_2023_10_Fluvial_Rase and Bishopsbridge,20/10/2023,23/10/2023,4 days,1.97,2024,,,,,0,2025,,,,,0
2,The Nettleham Church of England Voluntary Aided Junior School,120626,56.68,0,25.3,1.3,60.1,13.3,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
3,The Saxilby Church of England Primary School,120583,83.84,0,11.5,7.1,59.8,21.6,2000,LNA_2000_11_River Till Washland,07/11/2000,09/11/2000,3 days,1.57,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,LNA_2023_10_Fluvial_Burton Catchwater,20/10/2023,23/10/2023,4 days,1.45,2024,LNA_2024_01_Fluvial_River Till,02/01/2024,09/01/2024,8 days,1.65,2025,,,,,0
34,"The White's Wood Lane Community Junior School, Gainsborough",120489,17.36,0,15.4,7,44.8,32.7,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
40,Waddingham Primary School,120485,75.01,0,4.7,15.9,57.8,21.5,2000,,,,,0,2002,,,,,0,2007,LNA_2007_06_Black Dyke,26/06/2007,26/06/2007,1 days,1.32,2013,,,,,0,2019,LNA_2019_11_River Ancholme,10/11/2019,30/11/2019,21 days,0,2023,LNA_2023_10_Fluvial_BrandyWharf,20/10/2023,23/10/2023,4 days,1.26,2024,LNA_2024_01_Fluvial_MiddleAncholme,02/01/2024,09/01/2024,8 days,0.72,2025,LNA_2025_01_Fluvial_Catchwater_Drain,04/01/2025,15/01/2025,12 days,0.85
6,Welton St Mary's Church of England Primary Academy,139187,16.53,0,0,0,64.8,35.2,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
7,Welton St Mary's Church of England Primary School,139187,16.74,0,5.6,0,76.8,17.6,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
28,White's Wood Academy,139361,11.61,0,0,3.9,84.4,11.7,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
39,Willoughton Primary School,120487,43.96,0,3.7,18.7,64.4,13.2,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
42,,,59.88,0,9.1,6.6,60.2,24.1,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,LNA_2019_11_River Ancholme,10/11/2019,30/11/2019,21 days,0,2023,LNA_2023_10_Fluvial_North Kelsey,20/10/2023,23/10/2023,4 days,0,2024,LNA_2024_01_Fluvial_MiddleAncholme,02/01/2024,09/01/2024,8 days,0,2025,LNA_2025_01_Fluvial_Scawby_Catchwater,04/01/2025,15/01/2025,12 days,0
