Area,Ward,Number of schools,School,School URN,Year,Catchment area km2,Total road length in catchment,% of minor roads,Avg elevation,% of catchment in flood-risk zone,Road flood days per year,% of road length flooded at least once,Max flood duration,School population,Absence rate,Persistent absence,Avg lateness,School closure occured,Attainment score,Year-on-year attainment,YY value
Calderdale,,,Carr Green Primary School,107500,2013,2.723014,,,,1.476046883,,,,369,3.8,1.8,,,76%,-5.00%,-5.00%
Calderdale,,,Carr Green Primary School,107500,2024,2.723014,,,,1.476046883,,,,335,4.9,14,,,47%,-14.55%,-14.55%
Calderdale,,,Carr Green Primary School,107500,2019,2.723014,,,,1.476046883,,,,346,3.9,7.1,,,68%,-19.05%,-19.05%
Calderdale,,,Carr Green Primary School,107500,2016,2.723014,,,,1.476046883,,,,364,3.6,6.5,,,47%,-47.19%,-47.19%
Calderdale,,,Castle Hill Primary School,107520,2017,17.01583,45.74,67.3,,3.506128646,,,,283,3,3.2,,,62%,44.19%,44.19%
Calderdale,,,Castle Hill Primary School,107520,2019,17.01583,45.74,67.3,,3.506128646,,,,282,3.7,6.3,,,68%,21.43%,21.43%
Calderdale,,,Castle Hill Primary School,107520,2015,17.01583,45.74,67.3,,3.506128646,,,,286,4.2,1.8,,,71%,14.52%,14.52%
Calderdale,,,Castle Hill Primary School,107520,2024,17.01583,45.74,67.3,,3.506128646,,,,178,4.5,8.3,,,63%,1.61%,1.61%
Calderdale,,,Castle Hill Primary School,107520,2018,17.01583,45.74,67.3,,3.506128646,,,,282,3.1,3.6,,,56%,-9.68%,-9.68%
Calderdale,,,Castle Hill Primary School,107520,2013,17.01583,45.74,67.3,,3.506128646,,,,294,5,5,,,74%,-9.76%,-9.76%
Calderdale,,,Castle Hill Primary School,107520,2014,17.01583,45.74,67.3,,3.506128646,,,,289,4.2,2.7,,,62%,-16.22%,-16.22%
Calderdale,,,Castle Hill Primary School,107520,2016,17.01583,45.74,67.3,,3.506128646,5,11.35,,285,3.5,5.5,,,43%,-39.44%,-39.44%
West Lindsey,,,Cherry Willingham Primary School,120505,2013,50.14085,28.37,76,,0.841087816,,,,291,4.4,3.5,,,79.0%,36.21%,36.21%
West Lindsey,,,Cherry Willingham Primary School,120505,2018,50.14085,28.37,76,,0.841087816,,,,243,3.6,2.7,,,64.0%,28.00%,28.00%
West Lindsey,,,Cherry Willingham Primary School,120505,2014,50.14085,28.37,76,,0.841087816,,,,300,3.5,1.8,,,86.0%,8.86%,8.86%
West Lindsey,,,Cherry Willingham Primary School,120505,2015,50.14085,28.37,76,,0.841087816,,,,309,4,2.2,,,89.0%,3.49%,3.49%
West Lindsey,,,Cherry Willingham Primary School,120505,2017,50.14085,28.37,76,,0.841087816,,,,271,3.8,6,,,50.0%,-16.67%,-16.67%
West Lindsey,,,Cherry Willingham Primary School,120505,2019,50.14085,28.37,76,,0.841087816,,,,233,3.3,4.2,,,51.0%,-20.31%,-20.31%
West Lindsey,,,Cherry Willingham Primary School,120505,2016,50.14085,28.37,76,,0.841087816,,,,294,3.8,8.7,,,60.0%,-32.58%,-32.58%
Calderdale,,,"Christ Church CofE VA Junior School, Sowerby Bridge",107554,2019,3.087572,10.85,78.2,,1.52099389,,,,140,3.8,9.6,,,68%,88.89%,88.89%
Calderdale,,,"Christ Church CofE VA Junior School, Sowerby Bridge",107554,2014,3.087572,10.85,78.2,,1.52099389,,,,123,4.8,4.6,,,75%,29.31%,29.31%
Calderdale,,,"Christ Church CofE VA Junior School, Sowerby Bridge",107554,2017,3.087572,10.85,78.2,,1.52099389,,,,133,4.1,9.9,,,50%,19.05%,19.05%
Calderdale,,,"Christ Church CofE VA Junior School, Sowerby Bridge",107554,2024,3.087572,10.85,78.2,,1.52099389,,,,93,6.1,16.5,,,69%,7.81%,7.81%
Calderdale,,,"Christ Church CofE VA Junior School, Sowerby Bridge",107554,2015,3.087572,10.85,78.2,,1.52099389,,,,106,4.6,0,,,76%,1.33%,1.33%
Calderdale,,,"Christ Church CofE VA Junior School, Sowerby Bridge",107554,2013,3.087572,10.85,78.2,,1.52099389,,,,120,5.1,4.8,,,58%,-25.64%,-25.64%
Calderdale,,,"Christ Church CofE VA Junior School, Sowerby Bridge",107554,2018,3.087572,10.85,78.2,,1.52099389,,,,130,4.3,10.1,,,36%,-28.00%,-28.00%
Calderdale,,,"Christ Church CofE VA Junior School, Sowerby Bridge",107554,2016,3.087572,10.85,78.2,,1.52099389,5,3.38,,115,4.7,12.9,,,42%,-44.74%,-44.74%
Calderdale,,,Christ Church Pellon CofE VC Primary School,107535,2024,2.456504,12.6,89.5,,0.038496285,,,,175,9.6,33.9,,,34%,70.00%,70.00%
Calderdale,,,Christ Church Pellon CofE VC Primary School,107535,2014,2.456504,12.6,89.5,,0.038496285,,,,189,5,4.7,,,65%,51.16%,51.16%
Calderdale,,,Christ Church Pellon CofE VC Primary School,107535,2019,2.456504,12.6,89.5,,0.038496285,,,,192,3.6,7.5,,,42%,35.48%,35.48%
Calderdale,,,Christ Church Pellon CofE VC Primary School,107535,2015,2.456504,12.6,89.5,,0.038496285,,,,192,5,4.2,,,86%,32.31%,32.31%
Calderdale,,,Christ Church Pellon CofE VC Primary School,107535,2018,2.456504,12.6,89.5,,0.038496285,,,,184,5.1,14.5,,,31%,-6.06%,-6.06%
Calderdale,,,Christ Church Pellon CofE VC Primary School,107535,2013,2.456504,12.6,89.5,,0.038496285,,,,191,5.8,5.1,,,43%,-20.37%,-20.37%
Calderdale,,,Christ Church Pellon CofE VC Primary School,107535,2017,2.456504,12.6,89.5,,0.038496285,,,,191,3.5,7.3,,,33%,-36.54%,-36.54%
Calderdale,,,Christ Church Pellon CofE VC Primary School,107535,2016,2.456504,12.6,89.5,,0.038496285,,,,181,3.8,11,,,52%,-39.53%,-39.53%
Calderdale,,,Cliffe Hill Community Primary School,107525,2013,2.743502,9.74,77.4,,2.358604976,,,,177,7,12,,,77%,67.39%,67.39%
Calderdale,,,Cliffe Hill Community Primary School,107525,2018,2.743502,9.74,77.4,,2.358604976,,,,201,5.6,20,,,63%,65.79%,65.79%
Calderdale,,,Cliffe Hill Community Primary School,107525,2024,2.743502,9.74,77.4,,2.358604976,,,,176,9.5,29.8,,,54%,8.00%,8.00%
Calderdale,,,Cliffe Hill Community Primary School,107525,2014,2.743502,9.74,77.4,,2.358604976,,,,193,4.9,2.4,,,81%,5.19%,5.19%
Calderdale,,,Cliffe Hill Community Primary School,107525,2015,2.743502,9.74,77.4,,2.358604976,,,,205,4.4,1.7,,,81%,0.00%,0.00%
Calderdale,,,Cliffe Hill Community Primary School,107525,2017,2.743502,9.74,77.4,,2.358604976,,,,198,5.4,15.1,,,38%,-13.64%,-13.64%
Calderdale,,,Cliffe Hill Community Primary School,107525,2019,2.743502,9.74,77.4,,2.358604976,,,,195,4.8,14,,,50%,-20.63%,-20.63%
Calderdale,,,Cliffe Hill Community Primary School,107525,2016,2.743502,9.74,77.4,,2.358604976,5,0,,214,4.6,12.8,,,44%,-45.68%,-45.68%
Calderdale,,,Colden Junior and Infant School,107512,2017,4.06309,,,,2.62613911,,,,82,2.9,0,,,86%,32.31%,32.31%
Calderdale,,,Colden Junior and Infant School,107512,2019,4.06309,,,,2.62613911,,,,94,3.6,3.6,,,78%,21.88%,21.88%
Calderdale,,,Colden Junior and Infant School,107512,2013,4.06309,,,,2.62613911,,,,,,,,,100%,14.94%,14.94%
Calderdale,,,Colden Junior and Infant School,107512,2014,4.06309,,,,2.62613911,,,,118,3,0,,,94%,-6.00%,-6.00%
Calderdale,,,Colden Junior and Infant School,107512,2015,4.06309,,,,2.62613911,,,,119,3.3,0,,,88%,-6.38%,-6.38%
Calderdale,,,Colden Junior and Infant School,107512,2024,4.06309,,,,2.62613911,,,,82,5.8,12.3,,,50%,-25.37%,-25.37%
Calderdale,,,Colden Junior and Infant School,107512,2018,4.06309,,,,2.62613911,,,,76,3.5,6.4,,,64%,-25.58%,-25.58%
Calderdale,,,Colden Junior and Infant School,107512,2016,4.06309,,,,2.62613911,,,,110,3.8,5.8,,,65%,-26.14%,-26.14%
Calderdale,,,Copley Primary School,107480,2018,3.853452,13.21,70.8,,5.934485148,,,,234,3.1,2.4,,,78%,14.71%,14.71%
Calderdale,,,Copley Primary School,107480,2017,3.853452,13.21,70.8,,5.934485148,,,,235,2.9,2,,,68%,11.48%,11.48%
Calderdale,,,Copley Primary School,107480,2014,3.853452,13.21,70.8,,5.934485148,,,,231,2.6,0,,,100%,9.89%,9.89%
Calderdale,,,Copley Primary School,107480,2024,3.853452,13.21,70.8,,5.934485148,,,,304,4.8,8.1,,,66%,4.76%,4.76%
Calderdale,,,Copley Primary School,107480,2015,3.853452,13.21,70.8,,5.934485148,,,,232,2.9,0,,,94%,-6.00%,-6.00%
Calderdale,,,Copley Primary School,107480,2013,3.853452,13.21,70.8,,5.934485148,,,,,,,,,91%,-9.00%,-9.00%
Calderdale,,,Copley Primary School,107480,2019,3.853452,13.21,70.8,,5.934485148,,,,241,2.8,3,,,69%,-11.54%,-11.54%
Calderdale,,,Copley Primary School,107480,2016,3.853452,13.21,70.8,,5.934485148,5,34.38,,232,3,2.5,,,61%,-35.11%,-35.11%
Calderdale,,,"Cornholme Junior, Infant and Nursery School",107521,2017,46.56719,,,,2.787850044,,,,227,4.3,5.4,,,70%,40.00%,40.00%
Calderdale,,,"Cornholme Junior, Infant and Nursery School",107521,2015,46.56719,,,,2.787850044,,,,,,,,,95%,28.38%,28.38%
Calderdale,,,"Cornholme Junior, Infant and Nursery School",107521,2018,46.56719,,,,2.787850044,,,,221,4.5,8.5,,,83%,18.57%,18.57%
Calderdale,,,"Cornholme Junior, Infant and Nursery School",107521,2013,46.56719,,,,2.787850044,,,,215,4.8,3,,,90%,16.88%,16.88%
Calderdale,,,"Cornholme Junior, Infant and Nursery School",107521,2019,46.56719,,,,2.787850044,,,,204,4,7,,,75%,-9.64%,-9.64%
Calderdale,,,"Cornholme Junior, Infant and Nursery School",107521,2014,46.56719,,,,2.787850044,,,,227,4.1,0,,,74%,-17.78%,-17.78%
Calderdale,,,"Cornholme Junior, Infant and Nursery School",107521,2016,46.56719,,,,2.787850044,,,,215,4.4,9.9,,,50%,-47.37%,-47.37%
Calderdale,,,"Cornholme Junior, Infant and Nursery School",107521,2024,46.56719,,,,2.787850044,,,,152,9.1,32.8,,,19%,-64.81%,-64.81%
West Lindsey,,,Corringham CofE VC Primary School,120568,2017,58.17132,63.19,62.7,,0.314801497,,,,107,4,8.3,,,67.0%,42.55%,42.55%
West Lindsey,,,Corringham CofE VC Primary School,120568,2015,58.17132,63.19,62.7,,0.314801497,,,,103,3.6,0,,,93.0%,27.40%,27.40%
West Lindsey,,,Corringham CofE VC Primary School,120568,2018,58.17132,63.19,62.7,,0.314801497,,,,108,3.3,,,,78.0%,16.42%,16.42%
West Lindsey,,,Corringham CofE VC Primary School,120568,2013,58.17132,63.19,62.7,,0.314801497,,,,93,3.8,,,,80.0%,-5.88%,-5.88%
West Lindsey,,,Corringham CofE VC Primary School,120568,2024,58.17132,63.19,62.7,,0.314801497,,,,104,5.5,12,,,60.0%,-7.69%,-7.69%
West Lindsey,,,Corringham CofE VC Primary School,120568,2014,58.17132,63.19,62.7,,0.314801497,,,,98,3.3,0,,,73.0%,-8.75%,-8.75%
West Lindsey,,,Corringham CofE VC Primary School,120568,2019,58.17132,63.19,62.7,,0.314801497,,,,110,3.4,5.9,,,63.0%,-19.23%,-19.23%
West Lindsey,,,Corringham CofE VC Primary School,120568,2016,58.17132,63.19,62.7,,0.314801497,,,,106,3.3,,,,47.0%,-49.46%,-49.46%
Calderdale,,,Cragg Vale Junior and Infant School,107508,2015,,,,,,,,,64,3.9,0,,,83%,10.67%,10.67%
Calderdale,,,Cragg Vale Junior and Infant School,107508,2016,,,,,,,,,,,,,,86%,3.61%,3.61%
Calderdale,,,Cragg Vale Junior and Infant School,107508,2017,,,,,,,,,,,,,,77%,-10.47%,-10.47%
Calderdale,,,Cross Lane Primary and Nursery School,107533,2017,1.677987,22.38,64,,9.945390826,,,,317,4,9.8,,,47%,113.64%,113.64%
Calderdale,,,Cross Lane Primary and Nursery School,107533,2024,1.677987,22.38,64,,9.945390826,,,,325,5.1,11.5,,,63%,5.00%,5.00%
Calderdale,,,Cross Lane Primary and Nursery School,107533,2013,1.677987,22.38,64,,9.945390826,,,,304,4.4,2,,,76%,2.70%,2.70%
Calderdale,,,Cross Lane Primary and Nursery School,107533,2015,1.677987,22.38,64,,9.945390826,,,,315,4.6,4.7,,,66%,-1.49%,-1.49%
Calderdale,,,Cross Lane Primary and Nursery School,107533,2018,1.677987,22.38,64,,9.945390826,,,,314,4.4,10.6,,,44%,-6.38%,-6.38%
Calderdale,,,Cross Lane Primary and Nursery School,107533,2019,1.677987,22.38,64,,9.945390826,,,,317,4.3,10.6,,,40%,-9.09%,-9.09%
Calderdale,,,Cross Lane Primary and Nursery School,107533,2014,1.677987,22.38,64,,9.945390826,,,,318,3.6,1.2,,,67%,-11.84%,-11.84%
Calderdale,,,Cross Lane Primary and Nursery School,107533,2016,1.677987,22.38,64,,9.945390826,,,,318,4.4,10.4,,,22%,-66.67%,-66.67%
Calderdale,,,Dean Field Community Primary School,107481,2017,1.147096,,,,18.1998684,,,,215,4.1,9.9,,,44%,340.00%,340.00%
Calderdale,,,Dean Field Community Primary School,145400,2024,1.147096,9.53,93.1,,18.1998684,,,,226,6.6,20.7,,,71%,10.94%,10.94%
Calderdale,,,Dean Field Community Primary School,107481,2014,1.147096,,,,18.1998684,,,,222,3.9,1.7,,,85%,3.66%,3.66%
Calderdale,,,Dean Field Community Primary School,107481,2013,1.147096,,,,18.1998684,,,,214,4.7,6.6,,,82%,0.00%,0.00%
Calderdale,,,Dean Field Community Primary School,107481,2015,1.147096,,,,18.1998684,,,,224,4.6,3.4,,,63%,-25.88%,-25.88%
Calderdale,,,Dean Field Community Primary School,107481,2018,1.147096,,,,18.1998684,,,,,,,,,17%,-61.36%,-61.36%
Calderdale,,,Dean Field Community Primary School,107481,2016,1.147096,,,,18.1998684,,,,222,3.6,9.2,,,10%,-84.13%,-84.13%
West Lindsey,,,Dunholme St Chad's Church of England Primary School,120569,2018,39.68114,36.36,69.5,,1.575466046,,,,218,4,5.8,,,63.0%,26.00%,26.00%
West Lindsey,,,Dunholme St Chad's Church of England Primary School,120569,2013,39.68114,36.36,69.5,,1.575466046,,,,160,4.2,2.2,,,100.0%,13.64%,13.64%
West Lindsey,,,Dunholme St Chad's Church of England Primary School,120569,2015,39.68114,36.36,69.5,,1.575466046,,,,188,3.3,0,,,88.0%,8.64%,8.64%
West Lindsey,,,Dunholme St Chad's Church of England Primary School,120569,2024,39.68114,36.36,69.5,,1.575466046,4,0,,212,4.7,9.6,,,77.0%,6.94%,6.94%
West Lindsey,,,Dunholme St Chad's Church of England Primary School,120569,2017,39.68114,36.36,69.5,,1.575466046,,,,212,3.5,4.3,,,50.0%,0.00%,0.00%
West Lindsey,,,Dunholme St Chad's Church of England Primary School,120569,2014,39.68114,36.36,69.5,,1.575466046,,,,175,3.5,,,,81.0%,-19.00%,-19.00%
West Lindsey,,,Dunholme St Chad's Church of England Primary School,120569,2019,39.68114,36.36,69.5,,1.575466046,,,,210,3.2,2.6,,,50.0%,-20.63%,-20.63%
West Lindsey,,,Dunholme St Chad's Church of England Primary School,120569,2016,39.68114,36.36,69.5,,1.575466046,,,,199,3.5,6.8,,,50.0%,-43.18%,-43.18%
Calderdale,,,"Elland Church of England (Voluntary Aided) Junior, Infant and Nursery School",107550,2024,1.28494,25.59,64.6,,7.501624876,,,,161,6.4,21.5,,,27%,-18.18%,-18.18%
Calderdale,,,Elland CofE Junior and Infant School,107550,2017,1.28494,25.59,64.6,,7.501624876,,,,217,4.3,10.9,,,24%,140.00%,140.00%
Calderdale,,,Elland CofE Junior and Infant School,107550,2019,1.28494,25.59,64.6,,7.501624876,,,,199,4.9,11.6,,,43%,65.38%,65.38%
Calderdale,,,Elland CofE Junior and Infant School,107550,2014,1.28494,25.59,64.6,,7.501624876,,,,,,,,,79%,25.40%,25.40%
Calderdale,,,Elland CofE Junior and Infant School,107550,2018,1.28494,25.59,64.6,,7.501624876,,,,205,5.3,13.1,,,26%,8.33%,8.33%
Calderdale,,,Elland CofE Junior and Infant School,107550,2013,1.28494,25.59,64.6,,7.501624876,,,,194,5.3,3.8,,,63%,-5.97%,-5.97%
Calderdale,,,Elland CofE Junior and Infant School,107550,2015,1.28494,25.59,64.6,,7.501624876,,,,229,4.5,2.1,,,61%,-22.78%,-22.78%
Calderdale,,,Elland CofE Junior and Infant School,107550,2016,1.28494,25.59,64.6,,7.501624876,5,19.35,,236,4.3,9.8,,,10%,-83.61%,-83.61%
West Lindsey,,,Ellison Boulters Church of England Primary School,138753,2024,69.55861,60.95,60.7,,1.230031406,8,0,,288,3.9,4.4,,,76.0%,28.81%,28.81%
West Lindsey,,,Ellison Boulters Church of England Primary School,138753,2013,69.55861,60.95,60.7,,1.230031406,,,,277,3.6,,,,100.0%,26.58%,26.58%
West Lindsey,,,Ellison Boulters Church of England Primary School,138753,2018,69.55861,60.95,60.7,,1.230031406,,,,285,2.8,1.2,,,67.0%,6.35%,6.35%
West Lindsey,,,Ellison Boulters Church of England Primary School,138753,2016,69.55861,60.95,60.7,,1.230031406,,,,283,3.1,2,,,73.0%,2.82%,2.82%
West Lindsey,,,Ellison Boulters Church of England Primary School,138753,2019,69.55861,60.95,60.7,,1.230031406,,,,275,3.1,4.1,,,67.0%,0.00%,0.00%
West Lindsey,,,Ellison Boulters Church of England Primary School,138753,2014,69.55861,60.95,60.7,,1.230031406,,,,284,3,0,,,88.0%,-12.00%,-12.00%
West Lindsey,,,Ellison Boulters Church of England Primary School,138753,2017,69.55861,60.95,60.7,,1.230031406,,,,290,2.9,2.8,,,63.0%,-13.70%,-13.70%
West Lindsey,,,Ellison Boulters Church of England Primary School,138753,2015,69.55861,60.95,60.7,,1.230031406,,,,273,3,0,,,71.0%,-19.32%,-19.32%
West Lindsey,,,Faldingworth Community Primary School,120445,2019,47.62965,89.07,65.9,,6.476988848,,,,70,3.7,4.8,,,63.0%,43.18%,43.18%
West Lindsey,,,Faldingworth Community Primary School,120445,2017,47.62965,89.07,65.9,,6.476988848,,,,56,2.9,,,,70.0%,27.27%,27.27%
West Lindsey,,,Faldingworth Community Primary School,120445,2013,47.62965,89.07,65.9,,6.476988848,,,,47,4.5,,,,100.0%,0.00%,0.00%
West Lindsey,,,Faldingworth Community Primary School,120445,2015,47.62965,89.07,65.9,,6.476988848,,,,54,3.5,0,,,83.0%,0.00%,0.00%
West Lindsey,,,Faldingworth Community Primary School,120445,2014,47.62965,89.07,65.9,,6.476988848,,,,49,2.7,0,,,83.0%,-17.00%,-17.00%
West Lindsey,,,Faldingworth Community Primary School,120445,2016,47.62965,89.07,65.9,,6.476988848,,,,59,3.3,,,,55.0%,-33.73%,-33.73%
West Lindsey,,,Faldingworth Community Primary School,120445,2018,47.62965,89.07,65.9,,6.476988848,,,,64,3.6,,,,44.0%,-37.14%,-37.14%
West Lindsey,,,Faldingworth Community Primary School,120445,2024,47.62965,89.07,65.9,,6.476988848,,,,71,4.9,9.4,,,25.0%,-50.00%,-50.00%
Calderdale,,,Ferney Lee Primary School,107478,2017,1.164313,29.14,63.3,,3.920162677,,,,209,4.4,9.8,,,50%,100.00%,100.00%
Calderdale,,,Ferney Lee Primary School,107478,2015,1.164313,29.14,63.3,,3.920162677,,,,215,4.5,1.7,,,77%,10.00%,10.00%
Calderdale,,,Ferney Lee Primary School,107478,2024,1.164313,29.14,63.3,,3.920162677,,,,218,6.4,16.7,,,48%,6.67%,6.67%
Calderdale,,,Ferney Lee Primary School,107478,2013,1.164313,29.14,63.3,,3.920162677,,,,209,6,5.6,,,79%,2.60%,2.60%
Calderdale,,,Ferney Lee Primary School,107478,2019,1.164313,29.14,63.3,,3.920162677,,,,197,4.2,10.6,,,41%,-8.89%,-8.89%
Calderdale,,,Ferney Lee Primary School,107478,2018,1.164313,29.14,63.3,,3.920162677,,,,202,5.2,13.4,,,45%,-10.00%,-10.00%
Calderdale,,,Ferney Lee Primary School,107478,2014,1.164313,29.14,63.3,,3.920162677,,,,216,5,4,,,70%,-11.39%,-11.39%
Calderdale,,,Ferney Lee Primary School,107478,2016,1.164313,29.14,63.3,,3.920162677,5,9.23,,205,5.3,12.4,,,25%,-67.53%,-67.53%
Calderdale,,,Field Lane Primary School,138398,2018,3.712434,12.48,84.2,,1.894886883,,,,131,5.5,13.5,,,47%,88.00%,88.00%
Calderdale,,,Field Lane Primary School,138398,2019,3.712434,12.48,84.2,,1.894886883,,,,130,4.5,11.3,,,65%,38.30%,38.30%
Calderdale,,,Field Lane Primary School,138398,2017,3.712434,12.48,84.2,,1.894886883,,,,149,6,23.4,,,25%,25.00%,25.00%
Calderdale,,,Field Lane Primary School,138398,2024,3.712434,12.48,84.2,,1.894886883,,,,94,5.7,18.2,,,55%,-3.51%,-3.51%
Calderdale,,,Field Lane Primary School,138398,2014,3.712434,12.48,84.2,,1.894886883,,,,,,,,,76%,-11.63%,-11.63%
Calderdale,,,Field Lane Primary School,138398,2015,3.712434,12.48,84.2,,1.894886883,,,,129,4.6,3.4,,,67%,-11.84%,-11.84%
Calderdale,,,Field Lane Primary School,138398,2016,3.712434,12.48,84.2,,1.894886883,5,0,,135,6,20.3,,,20%,-70.15%,-70.15%
West Lindsey,,,Fiskerton Church of England Primary School,120570,2017,34.65824,36.76,70.6,,0.459646962,,,,114,3.3,3.4,,,57.0%,235.29%,235.29%
West Lindsey,,,Fiskerton Church of England Primary School,120570,2013,34.65824,36.76,70.6,,0.459646962,,,,76,4.6,,,,100.0%,20.48%,20.48%
West Lindsey,,,Fiskerton Church of England Primary School,120570,2015,34.65824,36.76,70.6,,0.459646962,,,,93,3.2,0,,,85.0%,7.59%,7.59%
West Lindsey,,,Fiskerton Church of England Primary School,120570,2018,34.65824,36.76,70.6,,0.459646962,,,,101,3.9,4.9,,,50.0%,-12.28%,-12.28%
West Lindsey,,,Fiskerton Church of England Primary School,120570,2024,34.65824,36.76,70.6,,0.459646962,8,0.64,,89,4.4,10.1,,,40.0%,-14.89%,-14.89%
West Lindsey,,,Fiskerton Church of England Primary School,120570,2014,34.65824,36.76,70.6,,0.459646962,,,,89,2.9,0,,,79.0%,-21.00%,-21.00%
West Lindsey,,,Fiskerton Church of England Primary School,120570,2019,34.65824,36.76,70.6,,0.459646962,9,0,,83,3.4,4.1,,,25.0%,-50.00%,-50.00%
West Lindsey,,,Fiskerton Church of England Primary School,120570,2016,34.65824,36.76,70.6,,0.459646962,,,,109,3.5,4.7,,,17.0%,-80.00%,-80.00%
West Lindsey,,,Frances Olive Anderson Church of England (Aided) Primary School,120625,2017,46.06844,23.11,63,,20.45537806,,,,183,3.8,9.6,,,60.0%,57.89%,57.89%
West Lindsey,,,Frances Olive Anderson Church of England (Aided) Primary School,120625,2024,46.06844,23.11,63,,20.45537806,9,0.37,,167,4.5,10.1,,,58.0%,31.82%,31.82%
West Lindsey,,,Frances Olive Anderson Church of England (Aided) Primary School,120625,2019,46.06844,23.11,63,,20.45537806,,,,192,4.5,8.6,,,79.0%,27.42%,27.42%
West Lindsey,,,Frances Olive Anderson Church of England (Aided) Primary School,120625,2013,46.06844,23.11,63,,20.45537806,,,,171,4.7,2.1,,,83.0%,9.21%,9.21%
West Lindsey,,,Frances Olive Anderson Church of England (Aided) Primary School,120625,2018,46.06844,23.11,63,,20.45537806,,,,201,3.9,5.7,,,62.0%,3.33%,3.33%
West Lindsey,,,Frances Olive Anderson Church of England (Aided) Primary School,120625,2015,46.06844,23.11,63,,20.45537806,,,,187,3.2,0,,,74.0%,-5.13%,-5.13%
West Lindsey,,,Frances Olive Anderson Church of England (Aided) Primary School,120625,2014,46.06844,23.11,63,,20.45537806,,,,180,3.4,1.8,,,78.0%,-6.02%,-6.02%
West Lindsey,,,Frances Olive Anderson Church of England (Aided) Primary School,120625,2016,46.06844,23.11,63,,20.45537806,,,,189,3.3,4.2,,,38.0%,-48.65%,-48.65%
West Lindsey,,,Gainsborough Benjamin Adlard Community School,138063,2015,47.97429,24.16,58.3,,17.04656777,,,,207,5.7,3.9,,,67.0%,103.03%,103.03%
West Lindsey,,,Gainsborough Benjamin Adlard Community School,138063,2024,47.97429,24.16,58.3,,17.04656777,9,0.58,,236,5.7,16.1,,,76.0%,52.00%,52.00%
West Lindsey,,,Gainsborough Benjamin Adlard Community School,138063,2017,47.97429,24.16,58.3,,17.04656777,,,,214,4.2,13.4,,,64.0%,28.00%,28.00%
West Lindsey,,,Gainsborough Benjamin Adlard Community School,138063,2013,47.97429,24.16,58.3,,17.04656777,,,,185,7.2,10.1,,,54.0%,25.58%,25.58%
West Lindsey,,,Gainsborough Benjamin Adlard Community School,138063,2019,47.97429,24.16,58.3,,17.04656777,,,,231,4.3,8.7,,,52.0%,-8.77%,-8.77%
West Lindsey,,,Gainsborough Benjamin Adlard Community School,138063,2018,47.97429,24.16,58.3,,17.04656777,,,,227,4.8,10.2,,,57.0%,-10.94%,-10.94%
West Lindsey,,,Gainsborough Benjamin Adlard Community School,138063,2016,47.97429,24.16,58.3,,17.04656777,,,,208,4,10.1,,,50.0%,-25.37%,-25.37%
West Lindsey,,,Gainsborough Benjamin Adlard Community School,138063,2014,47.97429,24.16,58.3,,17.04656777,,,,184,5.1,5.6,,,33.0%,-38.89%,-38.89%
Calderdale,,,Hebden Royd CofE VA Primary School,107551,2013,5.988955,20.13,52.2,,3.775991091,,,,,,,,,82%,86.36%,86.36%
Calderdale,,,Hebden Royd CofE VA Primary School,107551,2018,5.988955,20.13,52.2,,3.775991091,,,,135,3.6,5.7,,,58%,16.00%,16.00%
Calderdale,,,Hebden Royd CofE VA Primary School,107551,2019,5.988955,20.13,52.2,,3.775991091,,,,128,4.2,9.3,,,67%,15.52%,15.52%
Calderdale,,,Hebden Royd CofE VA Primary School,107551,2014,5.988955,20.13,52.2,,3.775991091,,,,147,3,0,,,89%,8.54%,8.54%
Calderdale,,,Hebden Royd CofE VA Primary School,107551,2017,5.988955,20.13,52.2,,3.775991091,,,,150,3.5,6.7,,,50%,-10.71%,-10.71%
Calderdale,,,Hebden Royd CofE VA Primary School,107551,2015,5.988955,20.13,52.2,,3.775991091,,,,139,3.1,0,,,76%,-14.61%,-14.61%
Calderdale,,,Hebden Royd CofE VA Primary School,107551,2016,5.988955,20.13,52.2,,3.775991091,5,32.58,,139,3.5,8.5,,,56%,-26.32%,-26.32%
Calderdale,,,Hebden Royd CofE VA Primary School,107551,2024,5.988955,20.13,52.2,,3.775991091,,,,103,5.4,15.7,,,47%,-45.35%,-45.35%
West Lindsey,,,Hemswell Cliff Primary School,120491,2017,19.95389,62.19,51.4,,19.09329155,,,,86,5,16.9,,,31.0%,342.86%,342.86%
West Lindsey,,,Hemswell Cliff Primary School,120491,2018,19.95389,62.19,51.4,,19.09329155,,,,73,4.5,14.3,,,60.0%,93.55%,93.55%
West Lindsey,,,Hemswell Cliff Primary School,120491,2015,19.95389,62.19,51.4,,19.09329155,,,,91,3.4,,,,79.0%,11.27%,11.27%
West Lindsey,,,Hemswell Cliff Primary School,120491,2013,19.95389,62.19,51.4,,19.09329155,,,,79,5.2,6.7,,,70.0%,11.11%,11.11%
West Lindsey,,,Hemswell Cliff Primary School,120491,2014,19.95389,62.19,51.4,,19.09329155,,,,85,4.2,,,,71.0%,1.43%,1.43%
West Lindsey,,,Hemswell Cliff Primary School,120491,2019,19.95389,62.19,51.4,,19.09329155,,,,56,5.2,15.8,,,20.0%,-66.67%,-66.67%
West Lindsey,,,Hemswell Cliff Primary School,120491,2016,19.95389,62.19,51.4,,19.09329155,,,,85,4,7.4,,,7.0%,-91.14%,-91.14%
