Area,Ward,Number of schools,School,School URN,Year,Catchment area km2,Total road length in catchment,% of minor roads,Avg elevation,% of catchment in flood-risk zone,Road flood days per year,% of road length flooded at least once,Max flood duration,School population,Absence rate,Persistent absence,Avg lateness,School closure occured,Attainment score,Year-on-year attainment,YY value
Calderdale,,,Heptonstall Junior Infant and Nursery School,107511,2023,16.6126,23.81,60,,0.677648125,,,,66,5.1,12.3,,,64%,,
Calderdale,,,Highbury School,107591,2018,,,,,,,,,76,6.2,19,,,0%,,
Calderdale,,,Highbury School,107591,2013,,,,,,,,,,,,,,0%,,
Calderdale,,,Highbury School,107591,2015,,,,,,,,,73,7,8.7,,,0%,,
Calderdale,,,Highbury School,107591,2016,,,,,,,,,73,7.4,24.4,,,0%,,
Calderdale,,,Highbury School,107591,2017,,,,,,,,,71,7,19.3,,,0%,,
Calderdale,,,Highbury School,107591,2023,,,,,,,,,104,7.3,26,,,0%,,
Calderdale,,,Highbury School,107591,2024,,,,,,,,,136,7.4,26.3,,,0%,,
Calderdale,,,"Holy Trinity Primary School, A Church of England Academy",138302,2013,12.28809,17.12,85,,1.334359829,,,,451,5.9,6.1,,,81%,,
Calderdale,,,"Holy Trinity Primary School, A Church of England Academy",138302,2023,12.28809,17.12,85,,1.334359829,,,,410,6.4,20.8,,,41%,,
Calderdale,,,Holywell Green Primary School,107505,2012,1.964863,16.7,63.5,,0.538573824,,,,,,,,,95%,,
Calderdale,,,Holywell Green Primary School,107505,2023,1.964863,16.7,63.5,,0.538573824,,,,180,4.1,9,,,50%,,
West Lindsey,,,Ingham Primary School,120454,2012,42.82553,51.87,57.8,,44.17238116,,,,106,3.2,3.3,,,92.0%,,
West Lindsey,,,Ingham Primary School,120454,2023,42.82553,51.87,57.8,,44.17238116,,,,82,3,1.4,,,63.0%,,
West Lindsey,,,Keelby Primary School,120456,2012,32.60963,74.18,45.8,,3.404992298,,,,167,5,3.3,,,55.0%,,
West Lindsey,,,Kelsey Primary School,120469,2012,30.75055,59.88,60.2,,13.25747867,,,,53,2.6,,,,100.0%,,
West Lindsey,,,Kelsey Primary School,120469,2015,30.75055,59.88,60.2,,13.25747867,,,,89,3.2,0,,,100.0%,,
West Lindsey,,,Kelsey Primary School,120469,2023,30.75055,59.88,60.2,,13.25747867,,,,110,3,0,,,74.0%,,
Calderdale,,,Lee Mount Academy,149545,2024,4.25007,,,,0.484773142,,,,297,6.5,19.8,,,39%,,
Calderdale,,,Lee Mount Primary School,107483,2012,4.250070263,14.91,90.4,,0.484773142,,,,350,3.5,1.8,,,73%,,
Calderdale,,,Lee Mount Primary School,107483,2023,4.250070263,14.91,90.4,,0.484773142,,,,,,,,,40%,,
West Lindsey,,,Legsby Primary School,120457,2018,23.91062,58.35,66.1,,4.536375351,,,,42,5.7,12.8,,,25.0%,,
West Lindsey,,,Legsby Primary School,120457,2012,23.91062,58.35,66.1,,4.536375351,,,,51,6.6,10.2,,,100.0%,,
West Lindsey,,,Legsby Primary School,120457,2017,23.91062,58.35,66.1,,4.536375351,,,,36,2.8,,,,,,
West Lindsey,,,Legsby Primary School,120457,2023,23.91062,58.35,66.1,,4.536375351,,,,47,8.3,37.2,,,30.0%,,
Calderdale,,,Lightcliffe C of E Primary School,144865,2023,1.461107,32.02,65.3,,22.25233144,,,,413,3.6,5.3,,,49%,,
Calderdale,,,Lightcliffe CofE Primary School,144865,2018,1.461107,32.02,65.3,,22.25233144,,,,419,3.4,4.1,,,75%,,
Calderdale,,,Lightcliffe CofE VA Primary School,107572,2012,1.461107,,,,22.25233144,,,,,,,,,85%,,
Calderdale,,,"Ling Bob Junior, Infant and Nursery School",107497,2012,1.698176,13.96,85.5,,7.490633662,,,,371,5.2,7.5,,,71%,,
Calderdale,,,"Ling Bob Junior, Infant and Nursery School",107497,2023,1.698176,13.96,85.5,,7.490633662,,,,344,5.7,17.4,,,55%,,
Calderdale,,,Longroyde Junior School,107501,2012,3.622458,14.33,79.9,,5.474430032,,,,255,4.1,2.2,,,75%,,
Calderdale,,,Longroyde Primary School,107501,2023,3.622458,14.33,79.9,,5.474430032,,,,415,6.9,24,,,59%,,
Calderdale,,,Luddenden CofE School,107541,2023,1.91732,18.74,80.7,,0.438289295,,,,112,7.1,19.1,,,63%,,
Calderdale,,,Luddenden Dene CofE (VC) Junior Infant and Nursery School,107541,2012,1.91732,18.74,80.7,,0.438289295,,,,172,4.2,2.3,,,75%,,
Calderdale,,,Luddendenfoot Academy,137699,2013,4.399328,19.68,71.5,,1.320138079,,,,,,,,,44%,,
Calderdale,,,Luddendenfoot Academy,137699,2023,4.399328,19.68,71.5,,1.320138079,,,,189,3.5,5.7,,,80%,,
Calderdale,,,Luddendenfoot Junior and Infant School,107516,2012,1.917320123,,,,1.320138079,,,,,,,,,88%,,
West Lindsey,,,Marton Primary School,120462,2012,11.37559,32.04,39.4,,14.57295346,,,,79,4.7,5.9,,,75.0%,,
West Lindsey,,,Mercer's Wood Academy,139332,2014,7.443106,11.52,74.6,,23.29686601,,,,172,5.5,3.7,,,80.0%,,
West Lindsey,,,Mercer's Wood Academy,139332,2023,7.443106,11.52,74.6,,23.29686601,,,,170,7.7,26.3,,,44.0%,,
Calderdale,,,Midgley School,107517,2012,0.874359,17.21,65.1,,7.991077953,,,,109,2.9,0,,,100%,,
Calderdale,,,Midgley School,107517,2023,0.874359,17.21,65.1,,7.991077953,,,,95,5.8,13.8,,,67%,,
Calderdale,,,Moorside Community Primary School,134659,2012,5.678259,20.65,76.2,,0.018808414,,,,247,5,2.6,,,73%,,
Calderdale,,,Moorside Community Primary School,134659,2015,5.678259,20.65,76.2,,0.018808414,,,,289,6.4,7.8,,,31%,,
Calderdale,,,Moorside Community Primary School,134659,2023,5.678259,20.65,76.2,,0.018808414,,,,235,5.9,15.8,,,40%,,
West Lindsey,,,Morton Trentside Primary School,120464,2012,22.87908,32.64,76.1,,65.99805535,,,,207,5.6,7,,,84.0%,,
West Lindsey,,,Morton Trentside Primary School,120464,2023,22.87908,32.64,76.1,,65.99805535,,,,194,5.5,12.1,,,76.0%,,
Calderdale,,,Mount Pellon Junior and Infant School,107532,2012,3.353962,,,,1.674153474,,,,581,5.7,7.3,,,46%,,
Calderdale,,,Mount Pellon Primary Academy,139270,2014,3.353962,14.68,94.2,,1.674153474,,,,601,4.4,2.6,,,60%,,
Calderdale,,,Mount Pellon Primary Academy,139270,2023,3.353962,14.68,94.2,,1.674153474,,,,328,8.5,30.5,,,64%,,
West Lindsey,,,Nettleton Community Primary School,120465,2012,33.75688,74.93,35.1,,26.48346383,,,,56,4.3,0,,,71.0%,,
West Lindsey,,,Nettleton Community Primary School,120465,2023,33.75688,74.93,35.1,,26.48346383,,,,80,6.2,20.3,,,67.0%,,
Calderdale,,,New Road Primary School,107518,2012,2.644513,8.83,76.8,,3.377425018,,,,57,8.8,17.3,,,67%,,
Calderdale,,,New Road Primary School,107518,2014,2.644513,8.83,76.8,,3.377425018,,,,96,3.1,0,,,100%,,
Calderdale,,,New Road Primary School,107518,2023,2.644513,8.83,76.8,,3.377425018,,,,159,5.3,16,,,63%,,
West Lindsey,,,Newton-on-Trent CofE Primary School,120578,2018,18.49005,53.46,40.7,,4.967397119,,,,50,4.7,13.6,,,,,
West Lindsey,,,Newton-on-Trent CofE Primary School,120578,2012,18.49005,53.46,40.7,,4.967397119,,,,30,4.6,0,,,,,
West Lindsey,,,Newton-on-Trent CofE Primary School,120578,2013,18.49005,53.46,40.7,,4.967397119,,,,33,5.9,,,,,,
West Lindsey,,,Newton-on-Trent CofE Primary School,120578,2014,18.49005,53.46,40.7,,4.967397119,,,,35,3.6,,,,,,
West Lindsey,,,Newton-on-Trent CofE Primary School,120578,2015,18.49005,53.46,40.7,,4.967397119,,,,45,3.5,0,,,63.0%,,
West Lindsey,,,Newton-on-Trent CofE Primary School,120578,2019,18.49005,53.46,40.7,,4.967397119,,,,51,4.6,11.8,,,50.0%,,
West Lindsey,,,Newton-on-Trent CofE Primary School,120578,2023,18.49005,53.46,40.7,,4.967397119,,,,70,3.9,11.8,,,64.0%,,
Calderdale,,,Norland CE School,107537,2023,0.798843,14.54,79.8,,0.823959206,,,,75,4,7.9,,,64%,,
Calderdale,,,Norland CofE Junior and Infant School,107537,2012,0.798843,14.54,79.8,,0.823959206,,,,,,,,,83%,,
West Lindsey,,,Normanby Primary School,120468,2012,20.54219,68.62,69.4,,5.59616039,,,,69,5.4,5.1,,,100.0%,,
West Lindsey,,,Normanby Primary School,120468,2023,20.54219,68.62,69.4,,5.59616039,,,,54,5.8,22.4,,,67.0%,,
Calderdale,,,Northowram Primary School,107486,2012,13.75662,20.66,75.6,,0.431059167,,,,467,3.7,2.2,,,80%,,
Calderdale,,,Northowram Primary School,107486,2023,13.75662,20.66,75.6,,0.431059167,,,,439,4.4,7.9,,,68%,,
Calderdale,,,Old Earth Primary School,137398,2012,2.561558,22.97,74,,0.851798034,,,,414,3.2,1.2,,,85%,,
Calderdale,,,Old Earth Primary School,137398,2023,2.561558,22.97,74,,0.851798034,,,,457,4,6.9,,,68%,,
Calderdale,,,Old Town Primary School,107524,2012,0.794616,31.92,47.1,,1.31496033,,,,,,,,,79%,,
Calderdale,,,Old Town Primary School,107524,2023,0.794616,31.92,47.1,,1.31496033,,,,72,5.3,10.4,,,53%,,
West Lindsey,,,Osgodby Primary School,120471,2012,40.56181,71.96,59.6,,3.555690322,,,,89,3.4,,,,63.0%,,
West Lindsey,,,Osgodby Primary School,120471,2023,40.56181,71.96,59.6,,3.555690322,,,,91,4,6.8,,,80.0%,,
Calderdale,,,Parkinson Lane Community Primary School,107487,2012,1.595541,13.29,91.8,,1.463004675,,,,517,2.4,0.8,,,59%,,
Calderdale,,,Parkinson Lane Community Primary School,107487,2023,1.595541,13.29,91.8,,1.463004675,,,,590,5.5,16.6,,,74%,,
West Lindsey,,,Pollyplatt Primary School,120472,2012,17.35336,58.58,38.1,,78.96518884,,,,115,3.9,,,,82.0%,,
West Lindsey,,,Pollyplatt Primary School,120472,2023,17.35336,58.58,38.1,,78.96518884,,,,101,3.9,5.3,,,60.0%,,
Calderdale,,,Rawson Junior and Infant School,107477,2012,,,,,,,,,339,4.6,5,,,77%,,
West Lindsey,,,Reepham Church of England Primary School,120581,2012,42.24991,26.98,61,,7.046215829,,,,178,2.6,0,,,91.0%,,
West Lindsey,,,Reepham Church of England Primary School,120581,2023,42.24991,26.98,61,,7.046215829,,,,197,4.1,4.7,,,82.0%,,
Calderdale,,,Ripponden Junior and Infant School,107514,2012,2.843685,23.41,58.9,,3.581471854,,,,,,,,,77%,,
Calderdale,,,Ripponden Junior and Infant School,107514,2023,2.843685,23.41,58.9,,3.581471854,,,,194,5,10.1,,,59%,,
Calderdale,,,Riverside Junior School,107529,2012,2.878932,7.73,80.7,,0.068470818,3,20.26,,,,,,,87%,,
Calderdale,,,Riverside Junior School,107529,2023,2.878932,7.73,80.7,,0.068470818,,,,143,4.4,6.9,,,60%,,
Calderdale,,,"Sacred Heart Catholic Primary School, Sowerby Bridge",107558,2012,2.020752,,,,0.856305621,,,,140,5,5.5,,,85%,,
Calderdale,,,Sacred Heart Catholic Voluntary Academy,141479,2016,2.020752,10.93,81.2,,0.856305621,5,4.41,,186,3.8,6.4,,,31%,,
Calderdale,,,Sacred Heart Catholic Voluntary Academy,141479,2023,2.020752,10.93,81.2,,0.856305621,,,,195,5.6,20,,,57%,,
Calderdale,,,Salterhebble Junior and Infant School,107490,2012,3.312693,28.05,75,,0.30593516,,,,,,,,,55%,,
Calderdale,,,Salterhebble Junior and Infant School,107490,2023,3.312693,28.05,75,,0.30593516,,,,209,4.2,8.1,,,72%,,
Calderdale,,,Salterlee Primary School,137347,2012,6.620531,16.01,66.9,,2.561640881,,,,,,,,,88%,,
Calderdale,,,Salterlee Primary School,137347,2023,6.620531,16.01,66.9,,2.561640881,,,,101,5,11.6,,,50%,,
Calderdale,,,Savile Park Primary School,107482,2012,1.956037,21.97,75.9,,2.074733232,,,,209,4.6,5.4,,,88%,,
Calderdale,,,Savile Park Primary School,107482,2023,1.956037,21.97,75.9,,2.074733232,,,,379,7.1,22.8,,,52%,,
West Lindsey,,,Scampton Church of England Primary School,120585,2012,34.1762,42.97,53.3,,2.898261145,,,,79,3.7,0,,,90.0%,,
West Lindsey,,,Scampton Church of England Primary School,120585,2023,34.1762,42.97,53.3,,2.898261145,,,,54,5.6,14.6,,,63.0%,,
West Lindsey,,,Scotter Primary School,120473,2012,31.21753,54.67,67.1,,11.37096559,,,,277,3.9,2.1,,,78.0%,,
West Lindsey,,,Scotter Primary School,120473,2023,31.21753,54.67,67.1,,11.37096559,,,,277,5.4,10.5,,,40.0%,,
Calderdale,,,Scout Road Academy,137341,2023,0.659176,37.11,59.8,,17.13449747,,,,98,4.4,9.4,,,85%,,
Calderdale,,,Scout Road Primary School,137341,2012,0.659176,37.11,59.8,,17.13449747,3,0.86,,,,,,,79%,,
Calderdale,,,Shade Primary School,107522,2012,2.044098,19.3,54.5,,0,3,13.45,,202,4.2,2.7,,,82%,,
Calderdale,,,Shade Primary School,107522,2023,2.044098,19.3,54.5,,0,,,,202,5.9,15.8,,,76%,,
Calderdale,,,Shelf Junior and Infant School,107513,2012,0.584129,20.14,63.9,,2.798565575,,,,281,4.3,1.6,,,75%,,
Calderdale,,,Shelf Junior and Infant School,107513,2023,0.584129,20.14,63.9,,2.798565575,,,,250,4.4,7.5,,,53%,,
Calderdale,,,Siddal Primary School,130936,2012,2.227218,,,,1.30189896,,,,232,4.3,4.3,,,78%,,
Calderdale,,,Siddal Primary School,138657,2013,2.227218,12.38,73.2,,1.30189896,,,,238,3.9,1.8,,,76%,,
Calderdale,,,Siddal Primary School,138657,2023,2.227218,12.38,73.2,,1.30189896,,,,198,6,19.2,,,55%,,
Calderdale,,,Sowerby Village CofE VC Primary School,133671,2012,,,,,,,,,156,4.8,0,,,52%,,
Calderdale,,,St Andrew's CofE (VA) Junior School,107547,2012,0.835758,18.83,64.1,,0.520760081,,,,236,3.7,1.2,,,82%,,
Calderdale,,,St Andrew's CofE (VA) Junior School,107547,2023,0.835758,18.83,64.1,,0.520760081,,,,208,5.3,12.8,,,80%,,
Calderdale,,,St Augustine's CofE School,149211,2023,1.453021,,,,1.37966414,,,,158,11.4,47.4,,,36%,,
Calderdale,,,St Augustine's CofE VA Junior and Infant School,107543,2012,1.453020584,9.49,97.5,,1.37966414,,,,160,4.5,3.4,,,65%,,
Calderdale,,,St Chad's CofE (VA) Primary School,107549,2012,,13.73,60.5,,,,,,213,3.1,2.2,,,88%,,
West Lindsey,,,"St George's Church of England Community Primary School, Gainsborough",131490,2012,49.43084,18.73,75.3,,5.571996671,,,,159,7,6.9,,,80.0%,,
West Lindsey,,,"St George's Church of England Community Primary School, Gainsborough",131490,2023,49.43084,18.73,75.3,,5.571996671,,,,195,7,21.3,,,36.0%,,
Calderdale,,,"St John's (CofE) Primary Academy, Clifton",137545,2013,1.71587,,,,16.22236834,,,,213,3,0,,,81%,,
Calderdale,,,"St John's (CofE) Primary Academy, Clifton",137545,2023,1.71587,,,,16.22236834,,,,205,4.1,7.8,,,79%,,
Calderdale,,,St John's CofE (VA) Primary School,107571,2012,,,,,,,,,,,,,,90%,,
Calderdale,,,"St John's CofE VA Primary School, Rishworth",107553,2012,1.025977,,,,13.00808301,,,,133,3.6,2.5,,,83%,,
Calderdale,,,St John's Primary School In Rishworth,139040,2014,1.025977,,,,13.00808301,,,,140,3.2,0,,,90%,,
Calderdale,,,St John's Primary School In Rishworth,139040,2023,1.025977,,,,13.00808301,,,,145,3.9,6.3,,,86%,,
Calderdale,,,St Joseph's Catholic Primary Academy,148479,2023,0.980124,,,,0.742066521,,,,163,6.7,23.6,,,41%,,
Calderdale,,,St Joseph's Catholic Primary Academy,148480,2023,0.980124,,,,0,,,,230,4.2,6,,,62%,,
Calderdale,,,St Joseph's Catholic Primary School,107544,2012,0.980124,6.79,72.6,,,,,,202,4.8,2.8,,,96%,,
Calderdale,,,"St Joseph's Catholic Primary School, Brighouse",107559,2012,0.995972,26.71,74.8,,,,,,238,3.4,1.7,,,82%,,
Calderdale,,,"St Joseph's RC Primary School, Todmorden",107560,2012,1.663358,12.06,87.3,,,3,23.42,,113,5.5,4.4,,,50%,,
Calderdale,,,"St Joseph's RC Primary School, Todmorden",107560,2015,1.663358,12.06,87.3,,,,,,,,,,,60%,,
