CELL ID,School name,Total road length in catchment,percentage of Motorway,percentage of A Road,percentage of B Road,percentage of Minor Roads,percentage of Unknown,Year,Flood Name,Start Date,End Date,Duration,Flooded Roads Ratio,Year.1,Flood Name.1,Start Date.1,End Date.1,Duration.1,Flooded Roads Ratio.1,Year.3,Flood Name.3,Start Date.3,End Date.3,Duration.3,Flooded Roads Ratio.3,Year.4,Flood Name.4,Start Date.4,End Date.4,Duration.4,Flooded Roads Ratio.4,Unnamed: 32,Unnamed: 33,Unnamed: 34,Year.5,Flood Name.5,Start Date.5,End Date.5,Duration.5,Flooded Roads Ratio.5,Year.6,Flood Name.6,Start Date.6,End Date.6,Duration.6,Flooded Roads Ratio.6,Flood Name.6 (2nd),Start Date.6 (2nd),End Date.6 (2nd),Duration.6 (2nd),Year.7,Flood Name.7,Start Date.7,End Date.7,Duration.7,Flooded Roads Ratio.7,Flood Name.7 (2nd),Start Date.7 (2nd),End Date.7 (2nd),Duration.7 (2nd),Year.8,Flood Name.8,Start Date.8,End Date.8,Duration.8,Flooded Roads Ratio.8,Flood Name.8 (2nd),Start Date.8 (2nd),End Date.8 (2nd),Duration.8 (2nd)
14,Copley Primary School,13.21,0,10.3,0,70.8,18.9,2000,,,,,0,2002,River Calder. Elland,2002/2/10,2002/2/13,4 days,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,34.38,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,8.21,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
15,Bolton Brow Primary Academy,11.55,0,19.6,0,67.5,12.9,2000,123 June 2000 - Calder Sowerby Bridge,2000/6/3,2000/6/30,28 days,7.14,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,24.41,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,4.2,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
16,Savile Park Primary School,21.97,0,12.2,0,75.9,11.9,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,2.21,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,0.22,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
17,Tuel Lane Infant School,13.61,0,14,0,77.1,8.9,2000,123 June 2000 - Calder Sowerby Bridge,2000/6/3,2000/6/30,28 days,4.57,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,17.82,,,,2019,2019 March Flooding Yorkshire,2019/3/14,2019/3/17,4 days,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,7.45,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
18,"Christ Church CofE VA Junior School, Sowerby Bridge",10.85,0,8.1,0,78.2,13.7,2000,123 June 2000 - Calder Sowerby Bridge,2000/6/3,2000/6/30,28 days,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,3.38,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,1.07,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
19,Warley Road Primary Academy,23.84,0,10,0,80.6,9.4,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,,,,,0,,,,2019,,,,,0,2020,,,,,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
20,Parkinson Lane Community Primary School,13.29,0,2.3,0,91.8,5.9,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,,,,,0,,,,2019,,,,,0,2020,,,,,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
21,Ripponden Junior and Infant School,23.41,0,12.6,4.9,58.9,23.6,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,0,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,3.44,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
22,St Mary's CofE (VC) J and I School,37.93,0,1,9.9,64.5,24.6,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,0,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,0.91,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
23,Triangle CofE VC Primary School,11.36,0,13.6,0,64.9,21.5,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,0,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
